DBA,ZIPCODE
Subway,11235
Dunkin,10026
"Burger King, Popeyes",11234
Chipotle Mexican Grill,10011
Popeyes,11374
Dunkin,10028
Singsing Chicken & Karaoke,11106
Dominos,10314
Dunkin,10458
Dunkin,11430
Dunkin,10472
Daves Hot Chicken,11365
Dunkin #363522,10001
Kennedy Fried Chicken,10033
Dunkin,10306
Kennedy Fried Chicken,11420
Dunkin',11231
Dunkin,11226
Burger King,10452
"Subway, Krispy Krunchy Chicken",11420
Starbucks,10310
Popeyes,11101
Kennedy Fried Chicken,11226
Popeyes,10475
Taco Bell,10466
Dunkin,11226
Dunkin,10451
Starbucks,11201
Crown Grill & Chicken,10473
Texas Chicken & Burgers,11224
Popeyes,10307
Dunkin,11203
Panera Bread,11385
Subway,10019
Burger King,11212
Super Kennedy Fried Chicken,10466
Popeyes Louisiana Chicken,11223
Chipotle Mexican Grill,10016
Starbucks Coffee # 26528,10018
"Dunkin',' Baskin Robbins",10034
Subway,10453
Papa John's Pizza,10463
Dunkin / Baskin Robbins,10002
Starbucks,10010
Burger King,10471
Kennedy Fried Chicken & Salad Bar,10467
Starbucks,10016
Domino's Pizza #3687,10016
Rokstar Chicken,11101
Subway,10312
Taco Bell,11370
"Dunkin',' Baskin Robbins",10458
Subway,10307
Dunkin,10004
Starbucks,11356
Dunkin,10039
Qdoba,10307
Ocky Fried Chicken & Pizza,10451
Chipotle Mexican Grill #3056,10309
Starbucks,11101
Fried Chicken With The Sauce Express,11203
Mad For Chicken,11361
Burger King,11412
Subway,10010
Kennedy Chicken,10462
Chipotle Mexican Grill,10016
Dunkin,10461
Dunkin,10471
Dunkin',10018
Popeyes,11235
Popeyes,10469
Starbucks,10038
Kentucky Fried Chicken,10029
Dunkin,10305
Dunkin,10469
Kew Gardens Chicken,11415
Sonic,11101
Domino's,10467
Popeyes Louisiana Kitchen,11205
Popeyes Louisiana Kitchen,10453
Popeyes Louisiana Kitchen,10001
Dunkin,11203
La Ruta Del Taco,11421
Dunkin',11236
Rico's Chicken,11379
Popeyes,10038
Panera Bread,11385
Kfc,11372
Popeyes,11435
Papa Chicken,11355
Chipotle Mexcian Grill # 2760,11101
Dunkin,10472
Peppa's Jerk Chicken,11225
Kfc,11434
Taco Bell,10459
Starbucks,10044
Dunkin,10451
Kennedy Chicken,11207
Dunkin',10013
Popeyes,10025
"Dunkin','Pizza Hut',' Nathans",10462
Papa John's,11221
Subway,10065
Starbucks,10019
Taco Bell Cantina #036012,10018
Dunkin,10022
Dunkin,10314
Starbucks,10011
Burger King,11434
Starbucks,11361
Crown Fried Chicken,11413
Panera Bread,11374
Starbucks,10001
Chirping Chicken,10028
Five Guys Famous Burgers And Fries,10001
Dunkin,10017
Popeyes Louisiana Chicken,11223
Dunkin'/Baskin Robbins,10462
Subway,10466
Tkk Fried Chicken,11354
Dunkin / Baskin Robbins,10002
Dunkin,11101
Dunkin,11419
Dunkin Donuts,10469
Starbucks,11101
Panera Bread,10028
Domino's,11373
Burger King,10472
Five Star Kennedy Pizza Chicken & Waffles,10454
Starbucks Coffee #678 Hudson,10014
Chicken Stop,11216
Chickenow,10475
Kentucky Fried Chicken,10029
Texas Chicken & Burgers,11235
Burger King,11214
"Dunkin', 'Baskin Robbins",11208
Starbucks,10314
Dunkin,10003
Dunkin/ Mama Mia's Pizza,11432
Subway,10002
Kennedy Chicken & Pizza,10466
Subway,10468
Dunkin' Donuts,10018
Panda Express,10022
Flamin' Chicken & Pizza,11207
Dunkin,10464
Krazy Chicken And Wings,11233
Starbucks Coffee # 65421,10001
Rico's Chicken Pollos A La Brasa,11355
Subway,11234
Subway,11232
"Dunkin', Baskin Robbins",11434
Kennedy Chicken & Burgers,10029
Dunkin,10460
Chipotle Mexican Grill,10014
Nyc Famous Chicken,11208
Dunkin,10472
Dunkin',10018
Chipotle Mexican Grill #3044,11414
Chick Chick,10024
Dunkin,10312
Little Caesars,11236
Dunkin,11373
"Dunkin',' Baskin Robbins",11432
The Original American Chicken,11104
Chipotle Mexican Grill #2254,11215
Subway,10305
"Dunkin',' Baskin Robbins",10034
Dunkin,11419
Dunkin',11101
Chipotle Mexican Grill,10022
Dunkin,10470
Burger King,11412
Papa John's,11413
Chipotle Mexican Grill #2834,11374
Dunkin,11355
Subway,10025
Bayside Chicken Lovers,11361
Kfc,10001
Modoo Chicken And Noodle Bar,11361
Crown Fried Chicken Grill & Salad,11208
Papa John's Pizza,10472
Starbucks,11103
Taco Bell,11421
Dunkin,10024
Subway,10003
Dunkin,11432
Dunkin',11238
Fields Good Chicken,10016
Burger King,10461
Subway,11368
Kennedy Fried Chicken & Pizza,10455
Kennedy Chicken And Burger,10466
"Dunkin', Baskin Robbins",10456
Popeyes,11373
Subway,10459
"Dunkin', Baskin Robbins",11220
Panera Bread,10306
375 Chicken N Fries,10036
Panera Bread #6283,10019
Chicken Hot Pot,11355
Dunkin,10036
Starbucks,10001
Dunkin' / 'Baskin Robbins,11385
Bb.q Chicken,11217
Subway,10004
Dunkin,10469
Crown Fried Chicken,10032
Subway,10011
Dunkin,10009
Starbucks,11373
Starbucks,10001
Dunkin,10012
Popeyes,11215
Kfc,11212
Texas Chicken & Burgers,11103
Shake Shack,10014
Starbucks,10019
Dunkin',11226
Kennedy Fried Chicken,11368
Dunkin,11103
Papa John's Pizza,10025
Popeyes,10473
Kennedy Fried Chicken,11207
