"County","License Number","Operation Type","Establishment Type","Entity Name","DBA Name","Street Number","Street Name","Address Line 2","Address Line 3","City","State","Zip Code","Square Footage","Georeference"
"WESTCHESTER","738259","Store","AC","LA SUPER COLMENA GROCERY CORP","LA SUPER COLMENA GROCERY","94","W POST RD",,,"WHITE PLAINS","NY","10606","1,500","POINT (-73.77433 41.02355)"
"NEW YORK","738258","Store","AC","1411 SAVORY DELI CORP","1411 SAVORY DELI","1411","5TH AVENUE",,,"NEW YORK","NY","10029",,"POINT (-73.94666 40.80039)"
"KINGS","738253","Store","AC","1818 FISHMARKET INC","1818 FISHMARKET","1818","CHURCH AVE",,,"BROOKLYN","NY","11226",,"POINT (-73.96257 40.64964)"
"NEW YORK","738250","Store","AC","167 N.T. CORP","GREEN GOURMET","1368","YORK AVE",,,"NEW YORK","NY","10021","2,000","POINT (-73.95333 40.76743)"
"KINGS","738248","Store","AC","FRIENDS GOURMET DELI INC","FRIENDS GOURMET DELI","1788","PITKIN AVE",,,"BROOKLYN","NY","11212",,"POINT (-73.90723 40.67022)"
"NASSAU","738245","Store","AC","HUMEI WHOLESALE INC","HUMEI WHOLESALE","88","URBAN AVE #B",,,"WESTBURY","NY","11590",,"POINT (-73.5633 40.75768)"
"NEW YORK","738237","Store","AC","ISARA MEXICAN TAQUERIA LLC","PUEBLO MAGICO","500B","WEST 146TH STREET",,,"NEW YORK","NY","10031",,"POINT (-73.94736 40.82601)"
"QUEENS","738226","Store","AC","BAWAJI SWEETS INC","BAWAJI SWEETS","58-01","37TH AVE",,,"WOODSIDE","NY","11377",,"POINT (-73.90417 40.75012)"
"ORANGE","738212","Store","AC","9W SNACK SHOP INC","9W SNACK SHOP","5465","RT 9W",,,"NEWBURGH","NY","12550","2,000","POINT (-73.99214 41.57186)"
"SUFFOLK","738208","Store","A","FERRY ROAD OYSTER COMPANY","FERRY ROAD OYSTER","58","NORTH FERRY RD ####",,,"SHELTER ISLAND","NY","11964",,"POINT (-72.33927 41.07211)"
"BRONX","738206","Store","AC","FORDHAM DELI #2 CORP","FORDHAM DELI #2","2573","WEBSTER AVE",,,"BRONX","NY","10458","1,000","POINT (-73.89023 40.86257)"
"KINGS","738200","Store","AC","S&D GROCERY STORE INC","S&D GROCERY STORE","420","MOTHER GASTON BLVD",,,"BROOKLYN","NY","11212","600","POINT (-73.90662 40.66873)"
"ULSTER","738190","Store","AC","KINGSTON STANDARD LLC","KINGSTON STANDARD BREWING CO","22","JANSEN AVE",,,"KINGSTON","NY","12401","2,000","POINT (-73.99294 41.92647)"
"RENSSELAER","738184","Store","AC","RENSSELAER ONE STOP CORP","RENSSELAER ONE STOP","9","3RD AVENUE",,,"RENSSELAER","NY","12144","2,000","POINT (-73.74537 42.63928)"
"NEW YORK","738183","Store","AC","AMAZON RETAIL LLC","AMAZON GO","200","VESEY STREET ####",,,"NEW YORK","NY","10281","1,000","POINT (-74.01545 40.71441)"
"TOMPKINS","738171","Store","A","WALGREEN EASTERN CO INC","WALGREENS #17195","79","NORTH STREET ##",,,"DRYDEN","NY","13053","2,500","POINT (-76.29805 42.49745)"
"BRONX","738169","Store","AC","CRUGER DELI & CANDY INC","CRUGER DELI & CANDY","722","ALLERTON AVENUE",,,"BRONX","NY","10467",,"POINT (-73.86647 40.86545)"
"ALBANY","738160","Store","AC","EH&JB ENTERPRISES LLC","FORTS FERRY FARM","185","FORTS FERRY ROAD ####",,,"LATHAM","NY","12110",,"POINT (-73.78532 42.77581)"
"WESTCHESTER","738151","Store","AC","EVELYNS FARM CORP","APPLE FARM","56","MAPLE STREET",,,"CROTON ON HUDSON","NY","10520","7,000","POINT (-73.8854 41.20305)"
"ROCKLAND","738146","Store","AC","DE BEST MARKET CORP","DE BEST MARKET","176","MAPLE AVE",,,"MONSEY","NY","10952",,"POINT (-74.06043 41.11687)"
